date,time,home_team,away_team,home_goals,away_goals,full_time_result,season
2026-09-12,15:00,Aston Villa,Nott'm Forest,1,2,A,2026-27
2026-09-12,15:00,Bournemouth,Brentford,2,2,D,2026-27
2026-09-12,15:00,Chelsea,Hull,2,2,D,2026-27
2026-09-12,15:00,Crystal Palace,Ipswich,2,3,A,2026-27
2026-09-12,15:00,Liverpool,Fulham,0,0,D,2026-27
2026-09-12,17:30,Tottenham,Everton,0,0,D,2026-27
2026-09-12,20:00,Sunderland,Arsenal,0,2,A,2026-27
2026-09-13,14:00,Coventry,Brighton,0,5,A,2026-27
2026-09-13,16:30,Man United,Man City,0,1,A,2026-27
