test_season,model,accuracy,accuracy_pct,log_loss
2021-22,Season PPG,0.656060606060606,65.6060606060606,0.6307702507027932
2021-22,Recent 5 PPG,0.6363636363636364,63.63636363636363,0.646511954603468
2021-22,Combined,0.6575757575757576,65.75757575757576,0.630731503198531
2022-23,Season PPG,0.6742424242424242,67.42424242424242,0.6233965939807904
2022-23,Recent 5 PPG,0.646969696969697,64.6969696969697,0.636475625461384
2022-23,Combined,0.6727272727272727,67.27272727272727,0.6234519136001967
2023-24,Season PPG,0.6606060606060606,66.06060606060606,0.6262088374052234
2023-24,Recent 5 PPG,0.6636363636363637,66.36363636363637,0.6347808493857042
2023-24,Combined,0.6530303030303031,65.30303030303031,0.6267193398275274
2024-25,Season PPG,0.6333333333333333,63.33333333333333,0.6421324821297865
2024-25,Recent 5 PPG,0.6181818181818182,61.81818181818181,0.6552142270979433
2024-25,Combined,0.6348484848484849,63.48484848484849,0.6419781966331802
2025-26,Season PPG,0.6424242424242425,64.24242424242425,0.6312374599775712
2025-26,Recent 5 PPG,0.6409090909090909,64.0909090909091,0.6419985798614556
2025-26,Combined,0.6439393939393939,64.39393939393939,0.6312065565258267
